Search terms report
"December 16, 2024 - December 22, 2024"
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
digital marketing for ayurvedic products,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digimed india healthcare digital marketing doctor marketing hospital marketing clinic diagnostics lab,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pharma marketing company india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
doctor seo,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",seo for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
best digital marketing agency for healthcare,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,DM for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
damco group digital marketing india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,5,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare martech,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental seo services in india,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing companies in india,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
campaignmagic in,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to register pharma marketing company in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing consultant in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
marketing agencies in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media marketing company in vadodara,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing agency in pune,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,DM for doctors,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to promote doctors online,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing specialist india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing medical,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
online consultation platform for doctors in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,3,25,12.00%,INR,202.78,608.35,Search,33.33%,1.00,608.35
digital marketing for doctors in india,Exact match,Added,Doctor SEO Campaign - Bangalore,DM for doctors,2,7,28.57%,INR,8.93,17.85,Search,0.00%,0.00,0.00
digital marketing in medical industry,Exact match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
marketing consultancy in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing in pharmaceutical industry in india,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for pharmaceutical companies,2,2,100.00%,INR,15.76,31.52,Search,0.00%,0.00,0.00
online advertising company in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,1,2,50.00%,INR,11.04,11.04,Search,0.00%,0.00,0.00
healthcare website development company in delhi,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medicine ki marketing kaise kare,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
campaignmagic in,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare ad,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare seo,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,seo for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing agencies,Phrase match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
business in medical field in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pharmaceutical digital marketing,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for pharmaceutical companies,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing agency in gurgaon,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
doctor digital marketing,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing agency india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to do marketing for dental clinic,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital campaigns in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing agency india,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,2,1,200.00%,INR,170.92,341.85,Search,0.00%,0.00,0.00
healthcare advertising agencies in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for hospital,Exact match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,1,1,100.00%,INR,101.82,101.82,Search,0.00%,0.00,0.00
digital marketing in pharmaceutical industry,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for pharmaceutical companies,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing hospital,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medfirstindia digital marketing analytics for decision making,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,1,1,100.00%,INR,13.41,13.41,Search,0.00%,0.00,0.00
scientimed solutions,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pharma digital marketing agency,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing agency,Exact match,Added,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,1,9,11.11%,INR,134.78,134.78,Search,0.00%,0.00,0.00
best healthcare digital marketing agency in india,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
np digital india pvt ltd,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
hospital digital marketing,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental website marketing,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental social media ads,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
best influencer marketing agency india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
best healthcare digital marketing agency,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
adlift digital marketing company india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for clinic,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing agency in delhi,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
online consultation platform for doctors in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,1,1,100.00%,INR,20.12,20.12,Search,0.00%,0.00,0.00
social media marketing india,Broad match,Excluded,Doctor SEO Campaign Mumbai,digital marketing for doctors,3,11,27.27%,INR,7.75,23.26,Search,33.33%,1.00,23.26
how to promote hospital in digital marketing,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,1,2,50.00%,INR,190.56,190.56,Search,100.00%,1.00,190.56
digital marketing cost in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing company,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing agency for healthcare,1,6,16.67%,INR,8.70,8.70,Search,0.00%,0.00,0.00
best digital marketing agency in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,5,13,38.46%,INR,95.94,479.71,Search,0.00%,0.00,0.00
ayurvedic medicine ki marketing kaise kare,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing firm in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pharmaceutical marketing,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medicine advertising agency,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
practo branding,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing agency for clinics,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
onclick digital marketing ameerpet hyderabad,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,6,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing pricing packages in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,2,3,66.67%,INR,61.96,123.92,Search,0.00%,0.00,0.00
healthcare aggregators in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing agency in delhi,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medicub digital,Phrase match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medical software india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,1,2,50.00%,INR,123.57,123.57,Search,0.00%,0.00,0.00
hospital digital marketing agency,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
bcc digital marketing,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing health care,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
orm agency in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketer in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
india's best digital marketing company,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pharma marketing companies in mumbai,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
hospital marketing video,Phrase match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for physiotherapists,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare crm india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,1,2,50.00%,INR,133.74,133.74,Search,0.00%,0.00,0.00
digital marketing for doctors in hyderabad,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
hospital marketing strategies,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to start medicine marketing company in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
influencer marketing india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
influencer marketing agencies in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing solutions,Exact match (close variant),None,Doctor SEO Campaign Mumbai,healthcare digital marketing agency,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing agency in delhi,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
online marketing app in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
seo for dermatologists,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,seo for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing company,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,1,61,1.64%,INR,4.86,4.86,Search,0.00%,0.00,0.00
dr digital,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing agency for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental clinic digital marketing,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,12,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental smma,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
top 10 digital marketing agency in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digidotes healthcare digital marketing co,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing agency for healthcare,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
marketing strategy for hospitals in india,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
best performance marketing agencies in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,1,1,100.00%,INR,511.19,511.19,Search,0.00%,0.00,0.00
digital marketing agency for hospitals,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing agency,Phrase match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing services for doctors,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,1,1,100.00%,INR,203.43,203.43,Search,0.00%,0.00,0.00
best digital marketing agency for healthcare,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing agency for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare aggregators in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
seo for doctors,Exact match,Added,Doctor SEO Campaign Hyderabad,seo for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media marketing companies in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
google ads for healthcare,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,digital marketing for hospitals,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digidotes healthcare digital marketing co,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
advertising business in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
best digital marketing agencies in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
np digital india limited,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for doctors,Exact match,Added,Doctor SEO Campaign - Bangalore,DM for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for clinics,Exact match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
influencer marketing agencies in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
online advertising company in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,1,1,100.00%,INR,5.53,5.53,Search,0.00%,0.00,0.00
digital marketing for healthcare industry,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,6,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for clinics,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
influencer marketing agency in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,2,6,33.33%,INR,176.35,352.70,Search,0.00%,0.00,0.00
social media and healthcare marketing,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,3,15,20.00%,INR,16.03,48.08,Search,0.00%,0.00,0.00
hospital online marketing,Exact match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,1,1,100.00%,INR,166.85,166.85,Search,0.00%,0.00,0.00
seo for doctors and medical practices,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",seo for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
hospital marketing,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
best healthcare digital marketing agency in india,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing agency for healthcare,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing influencers in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pharmaceutical marketing company in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
creative medical marketing ideas,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing pharma,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing agency india,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
kochava digital marketing company india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
india marketing solution,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for dental clinic,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental digital marketing agency,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,2,12,16.67%,INR,304.45,608.90,Search,0.00%,0.00,0.00
healthcare consultancy in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
top digital marketing agency india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
idigitalise consultancy pvt ltd,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare and digital marketing,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,1,1,100.00%,INR,41.02,41.02,Search,0.00%,0.00,0.00
digital marketing doctors,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing agency for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for doctors,Exact match,Added,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,1,23,4.35%,INR,272.20,272.20,Search,0.00%,0.00,0.00
medical tourism business in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
india's no 1 digital marketing company,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for hospitals ppt,Phrase match,None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
damco group digital marketing company india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing strategist in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
online marketing for dentists,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,11,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital healthcare agency,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,6,233,2.58%,INR,15.09,90.54,Search,0.00%,0.00,0.00
social media marketing company in pune,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing agency india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing price in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pharma marketing campaign ideas,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for pharmaceutical companies,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing agency,Exact match,Added,Doctor SEO Campaign Mumbai,healthcare digital marketing agency,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
marketing plan for hospital ppt,Phrase match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
seo for hospital,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,seo for hospitals,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
marketing for doctor,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,1,2,50.00%,INR,454.78,454.78,Search,0.00%,0.00,0.00
social media marketing in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing agencies,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
online marketing doctors,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing agency for doctors,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to promote physiotherapy clinic,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing price in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
seo for healthcare,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",seo for doctors,0,5,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medical business in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,1,7,14.29%,INR,75.09,75.09,Search,0.00%,0.00,0.00
